PROJECT NUMBER,BUILDING ID,PROJECT DESCRIPTION,SCHOOL NAME,SCHOOL ADDRESS,SED APPROVED ESTIMATE,DATE APPLICATION SUBMITTED TO SED,BOROUGH,POSTCODE,LATITUDE,LONGITUDE,COMMUNITY BOARD,COUNCIL DISTRICT,CENSUS TRACT,BIN,BBL,NTA
AKK,K554,Leased Facility Improvements,ALL CITY LEADERSHIP SCHOOL,321 PALMETTO STREET,19856748,,3,11237,40.69737,-73.913171,4,37,433,3413715,3033440136,Bushwick North                                                             
AKY,Q029,"NEW  PS/IS  HAVING AN APPROXIMATELY 52,758 SF AND A TOTAL UNADJUSTED CAPACITY OF 436.",P.S. 29,125-10 23 AVENUE,20245533,,4,11356,40.778601,-73.843187,7,19,907,4099925,4042290014,College Point                                                              
ALM,X292,NEW PS HAVING AN APPROXIMATELY 61000 SF AND A TOTAL UNADJUSTED CAPACITY OF 468,PS 292,800 LYDIG AVE,16341069,,2,10462,40.854415,-73.863732,11,13,228,2048831,2042930031,Pelham Parkway                                                             
AX8,X285,"A NEW PS HAVING APPROXIMATE GROSS AREA OF 59,941 SF AND AN APPROXIMATE UNADJUSTED CAPACITY OF 492",I.S. 285,1065 DR. MARTIN KING JR BLVD,16664337,,2,,,,,,,,,
AZ0,M338,"A NEW PS/IS HAVING APPROXIMATE GROSS AREA OF 99,370 SF AND AN APPROXIMATE UNADJUSTED CAPACITY OF 752",P.S. 51,515-566 WEST 44TH STREET,26928923,,1,10036,40.76141,-73.995657,4,3,129,,,Clinton                                                                    
AYM,Q404,"A NEW IS/HS HAVING APPROXIMATE GROSS AREA OF 142,606 SF AND AN APPROXIMATE UNADJUSTED CAPACITY OF 1301",I.S./H.S. 404,1-50 51ST AVENUE,56308518,,4,11101,40.742956,-73.959196,2,26,1,4538588,4000060008,Hunters Point-Sunnyside-West Maspeth                                       
AYV,X177,"A NEW PS/IS HAVING APPROXIMATE GROSS AREA OF 97,122 SF AND AN APPROXIMATE UNADJUSTED CAPACITY OF 752",PS/IS 177,3177 WEBSTER AVE,33706527,,2,10467,40.872551,-73.875374,7,11,425,2098420,2033530040,Norwood                                                                    
B4P,K285,Building System Improvement - Heating Plant Upgrade,I.S. 285,5905 BEVERLY ROAD,5646331,,3,11203,40.646877,-73.921006,17,45,936,3104599,3047440001,Rugby-Remsen Village                                                       
B40,M050,Building System Improvement - Boiler Conversion,P.S. 50 (UDC & ECF),433 EAST 100 STREET,3142585,,1,10029,40.785258,-73.941526,11,8,162,1083933,1016940001,East Harlem South                                                          
B4Y,M271,Building Envelope Improvement - Parapet Reconstruction,P.S./I.S. 217 ROOSEVELT ISLAND,645 MAIN STREET,1845760,,1,10044,40.763894,-73.947916,8,5,23802,1084848,1013730001,Lenox Hill-Roosevelt Island                                                
B52,M271,Building Envelope Improvement - Reconstruction of Exterior Masonry,P.S./I.S. 217 ROOSEVELT ISLAND,645 MAIN STREET,2057396,,1,10044,40.763894,-73.947916,8,5,23802,1084848,1013730001,Lenox Hill-Roosevelt Island                                                
B53,K285,Building System Improvement - Reconstruction of Temperature Control System,I.S. 285,5905 BEVERLY ROAD,1384507,,3,11203,40.646877,-73.921006,17,45,936,3104599,3047440001,Rugby-Remsen Village                                                       
B59,X139,Building Envelope Improvement - Reconstruction of Exterior Masonry,I.S. 139,345 BROOK AVENUE,3652030,,2,10454,40.81004,-73.917792,1,8,41,2000391,2022860036,Mott Haven-Port Morris                                                     
B5K,X139,Building Envelope Improvement - Parapet Reconstruction,I.S. 139,345 BROOK AVENUE,539736,,2,10454,40.81004,-73.917792,1,8,41,2000391,2022860036,Mott Haven-Port Morris                                                     
B5T,X139,Indoor Building Improvement,I.S. 139,345 BROOK AVENUE,141801,,2,10454,40.81004,-73.917792,1,8,41,2000391,2022860036,Mott Haven-Port Morris                                                     
B5W,X139,Building Envelope Improvement - Window and Door Replacement,I.S. 139,345 BROOK AVENUE,10237644,,2,10454,40.81004,-73.917792,1,8,41,2000391,2022860036,Mott Haven-Port Morris                                                     
B60,M271,Building Envelope Improvement - Window and Door Replacement,P.S./I.S. 217 ROOSEVELT ISLAND,645 MAIN STREET,3714383,,1,10044,40.763894,-73.947916,8,5,23802,1084848,1013730001,Lenox Hill-Roosevelt Island                                                
B6G,X139,Building Envelope Improvement - Parapet Reconstruction,I.S. 139,345 BROOK AVENUE,2527308,,2,10454,40.81004,-73.917792,1,8,41,2000391,2022860036,Mott Haven-Port Morris                                                     
B6U,M271,Building Envelope Improvement - Parapet Reconstruction,P.S./I.S. 217 ROOSEVELT ISLAND,645 MAIN STREET,1742967,,1,10044,40.763894,-73.947916,8,5,23802,1084848,1013730001,Lenox Hill-Roosevelt Island                                                
BAZ,M195,Building System Improvement - Boiler Conversion,I.S. 195 (ECF),625 WEST 133 STREET,3714637,,1,10027,40.819572,-73.957823,9,7,22302,1059942,1020010005,Manhattanville                                                             
BB0,K383,Building System Improvement - Boiler Conversion,I.S. 383,1300 GREENE AVENUE,5107524,,3,11237,40.697781,-73.919777,4,37,431,3075413,3032980001,Bushwick North                                                             
BB1,M050,Building System Improvement - Reconstruction of Temperature Control System,P.S. 50 (UDC & ECF),433 EAST 100 STREET,1333067,,1,10029,40.785258,-73.941526,11,8,162,1083933,1016940001,East Harlem South                                                          
BB2,K383,Building System Improvement - Reconstruction of Temperature Control System,I.S. 383,1300 GREENE AVENUE,1838888,,3,11237,40.697781,-73.919777,4,37,431,3075413,3032980001,Bushwick North                                                             
BAV,X600,Building System Improvement - Elevator/Escalator Upgrade,SMITH H.S.,333 EAST 151 STREET,0,,2,10451,40.818232,-73.919867,1,17,67,2001874,2024110022,Melrose South-Mott Haven North                                             
BBE,M195,Building System Improvement - Reconstruction of Temperature Control System,I.S. 195 (ECF),625 WEST 133 STREET,1583792,,1,10027,40.819572,-73.957823,9,7,22302,1059942,1020010005,Manhattanville                                                             
BJR,X115,Building Envelope Improvement - Parapet Reconstruction,I.S. 399 (@ X115),120 EAST 184 STREET,562422,,2,10468,40.859752,-73.900161,5,14,23703,2013899,2031720046,Fordham South                                                              
BJT,X115,Reinforcing Support Elements,I.S. 399 (@ X115),120 EAST 184 STREET,173378,,2,10468,40.859752,-73.900161,5,14,23703,2013899,2031720046,Fordham South                                                              
BN9,M125,Science Lab Upgrade,P.S. 125,425 WEST 123 STREET,1898123,,1,10027,40.810431,-73.955809,9,7,20901,1059526,1019640012,Morningside Heights                                                        
BHV,X115,Building Envelope Improvement - Reconstruction of Exterior Masonry,I.S. 319 (@X115),120 EAST 184 STREET,4547871,,2,10468,40.859752,-73.900161,5,14,23703,2013899,2031720046,Fordham South                                                              
BJU,X115,Building Envelope Improvement - Parapet Reconstruction,I.S. 115 (@X115),120 EAST 184 STREET,312606,,2,10468,40.859752,-73.900161,5,14,23703,2013899,2031720046,Fordham South                                                              
BMD,Q312,A NEW PS/IS HAVING AN ESTIMATED UNADJUSTED CAPACITY OF 690 AND AN ESTIMATED AREA OF 98569 SQ. FT.,PS/IS 312,46-08 5 ST,23870495,,4,11101,40.747069,-73.955144,2,26,1,4542629,4000210030,Hunters Point-Sunnyside-West Maspeth                                       
BMI,X151,Reinforcing Support Elements,I.S. 151,250 EAST 156 STREET,2132593,,2,10451,40.82316,-73.921631,4,17,61,2002458,2024430190,East Concourse-Concourse Village                                           
BNO,X156,Indoor Building Improvement,P.S. 156,750 CONCOURSE VILLAGE WE,4571423,,2,,,,,,,,,
BN5,X009,Architectural and Barrier Removal,P.S. 9 (OLD 115),230 EAST 183 STREET,8484043,,2,10458,40.857067,-73.898936,5,15,38301,2013561,2031500010,Fordham South                                                              
BNM,X151,Indoor Building Improvement,I.S. 151,250 EAST 156 STREET,5495514,,2,10451,40.82316,-73.921631,4,17,61,2002458,2024430190,East Concourse-Concourse Village                                           
BNN,X156,Reinforcing Support Elements,P.S. 156,750 CONCOURSE VILLAGE WE,1792914,,2,,,,,,,,,
CFB,Q186,Indoor Building Improvement - Computer room wiring to upgrade computer labs,P.S. 186,252-12 72 AVENUE,313861,,4,11426,40.750007,-73.721607,13,23,155102,4173640,4084010375,Glen Oaks-Floral Park-New Hyde Park                                        
CHE,X435,Indoor Building Improvement - Computer room wiring to upgrade computer labs,HS OF LAW & COMMUNITY SERVICE,500 EAST FORDHAM ROAD,124993,,2,10458,40.860043,-73.888267,6,15,387,2011810,2030590001,Belmont                                                                    
CC5,R029,Indoor Building Improvement - Computer room wiring to upgrade computer labs,P.S. 29,1581 VICTORY BLVD,0,,5,10314,40.613604,-74.115988,1,50,147,5009028,5003310001,Westerleigh                                                                
CCL,X435,Indoor Building Improvement - Computer room wiring to upgrade computer labs,KAPPA,500 EAST FORDHAM ROAD,124985,,2,10458,40.860043,-73.888267,6,15,387,2011810,2030590001,Belmont                                                                    
CRC,Q475,Building Envelope Improvement - Reconstruction of Exterior Masonry,RICHMOND HILL HS,89-30 114 STREET,4980840,,4,11418,40.695888,-73.833681,9,28,124,4195688,4093210001,Richmond Hill                                                              
CRU,Q475,Building Envelope Improvement - Window and Door Replacement,RICHMOND HILL HS,89-30 114 STREET,4851764,,4,11418,40.695888,-73.833681,9,28,124,4195688,4093210001,Richmond Hill                                                              
CWI,K142,Indoor Building Improvement,P.S. 146 (@K142),610 HENRY STREET,538846,,3,11231,40.68007,-74.001377,6,39,63,3336036,3003690001,Carroll Gardens-Columbia Street-Red Hook                                   
CTF,K017,Indoor Building Improvement,P.S. 17,208 NORTH 5 STREET,1079040,,3,11211,40.715351,-73.956716,1,34,519,3062337,3023450001,North Side-South Side                                                      
CTI,K112,Indoor Building Improvement,P.S. 112,7115 15 AVENUE,822273,,3,11228,40.61978,-74.000792,11,43,190,3157760,3061800001,Bensonhurst West                                                           
CZE,M501,Building Envelope Improvement - Parapet Reconstruction,CHOIR ACADEMY OF HARLEM,2005 MADISON AVENUE,7531896,,1,10035,40.807383,-73.939433,11,9,206,1054156,1017520022,Central Harlem North-Polo Grounds                                          
D2I,M118,Reinforcing Support Elements,I.S. 256 (@M118),154 WEST 93 STREET,932300,,1,10025,40.791728,-73.970845,7,6,177,1032522,1012230005,Upper West Side                                                            
CV4,K017,Building Envelope Improvement - Parapet Reconstruction,P.S. 17,208 NORTH 5 STREET,1091880,,3,11211,40.715351,-73.956716,1,34,519,3062337,3023450001,North Side-South Side                                                      
CV5,K017,Building Envelope Improvement - Parapet Reconstruction,P.S. 17,208 NORTH 5 STREET,2003186,,3,11211,40.715351,-73.956716,1,34,519,3062337,3023450001,North Side-South Side                                                      
CR9,X080,Indoor Building Improvement,J.H.S. 80/P.S. 280,149 EAST MOSHOLU PKWY N,1973557,,2,10467,40.876299,-73.881532,7,11,419,2018046,2033360035,Norwood                                                                    
CT8,Q475,Building Envelope Improvement - Parapet Reconstruction,RICHMOND HILL HS,89-30 114 STREET,1770216,,4,11418,40.695888,-73.833681,9,28,124,4195688,4093210001,Richmond Hill                                                              
CTA,R018,Building System Improvement - Heating Plant Upgrade,P.S. 18,221 BROADWAY,5545299,,5,10310,40.636587,-74.117509,1,49,105,5004877,5001760010,New Brighton-Silver Lake                                                   
CTD,K017,Building Envelope Improvement - Window and Door Replacement,P.S. 17,208 NORTH 5 STREET,2172156,,3,11211,40.715351,-73.956716,1,34,519,3062337,3023450001,North Side-South Side                                                      
CTE,K017,Building Envelope Improvement - Reconstruction of Exterior Masonry,P.S. 17,208 NORTH 5 STREET,3926946,,3,11211,40.715351,-73.956716,1,34,519,3062337,3023450001,North Side-South Side                                                      
CTG,K112,Building Envelope Improvement - Parapet Reconstruction,P.S. 112,7115 15 AVENUE,719519,,3,11228,40.61978,-74.000792,11,43,190,3157760,3061800001,Bensonhurst West                                                           
CTH,K112,Building Envelope Improvement - Reconstruction of Exterior Masonry,P.S. 112,7115 15 AVENUE,985450,,3,11228,40.61978,-74.000792,11,43,190,3157760,3061800001,Bensonhurst West                                                           
D0B,M501,Building Envelope Improvement - Parapet Reconstruction,CHOIR ACADEMY OF HARLEM,2005 MADISON AVENUE,978951,,1,10035,40.807383,-73.939433,11,9,206,1054156,1017520022,Central Harlem North-Polo Grounds                                          
D35,X655,LIBRARY RECONSTRUCTION AND UPGRADE,GOMPERS VOCATIONAL HS,455 SOUTHERN BLVD,819287,,2,10455,40.810803,-73.907015,1,8,35,2003883,2025760026,Mott Haven-Port Morris                                                     
DCC,Q152,Asbestos  abatement,P.S. 152,33-52 62 STREET,81142,,4,11377,40.753037,-73.900123,2,26,293,4027102,4011840014,Woodside                                                                   
D4V,Q849,Auditorium Upgrade - replace and upgrade auditorium sound system and lighting.,I.S. 77,976 SENECA AVENUE,2441125,,4,11385,40.699516,-73.90214,5,34,555,4085922,4035630023,Ridgewood                                                                  
D57,X988,Leased Facility Improvements,SUSPENSION CENTER SCHOOL,1231 LAFAYETTE AVE,10407505,,2,10474,40.816486,-73.890277,2,17,93,2005939,2027390015,Hunts Point                                                                
D5A,X007,Building Envelope Improvement - Parapet Reconstruction,P.S. 7,3201 KINGSBRIDGE AVENUE,2004193,,2,10463,40.881066,-73.905366,8,11,287,2083564,2057560195,Spuyten Duyvil-Kingsbridge                                                 
D5D,K026,Building System Improvement - Boiler Conversion,P.S. 26,1010 LAFAYETTE AVENUE,3653678,,3,11221,40.69211,-73.931857,3,36,291,3393805,3016160001,Stuyvesant Heights                                                         
D3L,K171,Building Envelope Improvement - Parapet Reconstruction,I.S. 171/P.S. 7,528 RIDGEWOOD AVENUE,136563,,3,11208,40.68618,-73.869625,5,37,1184,3092456,3041340020,Cypress Hills-City Line                                                    
D2J,X149,LIBRARY RECONSTRUCTION AND UPGRADE,I.S. 223 (@X149),360 EAST 145 STREET,982571,,2,10454,40.813983,-73.920782,1,8,43,2097038,2023060054,Mott Haven-Port Morris                                                     
D2Q,K171,Building Envelope Improvement - Reconstruction of Exterior Masonry,I.S. 171/P.S. 7,528 RIDGEWOOD AVENUE,4972657,,3,11208,40.68618,-73.869625,5,37,1184,3092456,3041340020,Cypress Hills-City Line                                                    
D7H,K445,Building Envelope Improvement - Parapet Reconstruction,NEW UTRECHT HS,1601 80TH ST,3165292,,3,11214,40.613262,-74.003404,11,43,182,3162711,3062710001,Bensonhurst West                                                           
D59,Q025,Building Envelope Improvement - Reconstruction of Exterior Masonry,J.H.S. 25,34-65 192 STREET,1423566,,4,11358,40.765133,-73.790083,11,19,1139,4119139,4052610001,Auburndale                                                                 
D5E,K026,Building System Improvement - Reconstruction of Temperature Control System,P.S. 26,1010 LAFAYETTE AVENUE,2021086,,3,11221,40.69211,-73.931857,3,36,291,3393805,3016160001,Stuyvesant Heights                                                         
D5F,Q124,Building Envelope Improvement - Reconstruction of Exterior Masonry,P.S. 124,129-15 150 AVENUE,2375623,,4,11420,40.665058,-73.811701,10,28,84602,4257530,4118820001,South Ozone Park                                                           
15CH,K228,Science Lab Upgrade,I.S. 228 - BROOKLYN,228 AVENUE S,435000,03/27/2019,BROOKLYN,11223,40.6013,-73.976953,311,47,410,3190273,3070840001,Bensonhurst East
D5H,Q140,Building Envelope Improvement - Parapet Reconstruction,P.S. 140,116-00 166 ST,4022949,,4,11434,40.68654,-73.781262,12,28,278,4267400,4123470010,Baisley Park                                                               
D5I,X075,Building Envelope Improvement - Parapet Reconstruction,P.S. 75,984 FAILE STREET,2592312,,2,10459,40.822719,-73.889435,2,17,119,2006079,2027470001,Hunts Point                                                                
D72,X007,Building Envelope Improvement - Reconstruction of Exterior Masonry,P.S. 7,3201 KINGSBRIDGE AVENUE,778998,,2,10463,40.881066,-73.905366,8,11,287,2083564,2057560195,Spuyten Duyvil-Kingsbridge                                                 
D73,X007,Building Envelope Improvement - Parapet Reconstruction,P.S. 7,3201 KINGSBRIDGE AVENUE,2964511,,2,10463,40.881066,-73.905366,8,11,287,2083564,2057560195,Spuyten Duyvil-Kingsbridge                                                 
D7F,K445,Indoor Building Improvement,NEW UTRECHT HS,1601 80TH ST,332602,,3,11214,40.613262,-74.003404,11,43,182,3162711,3062710001,Bensonhurst West                                                           
D7G,K445,Building Envelope Improvement - Parapet Reconstruction,NEW UTRECHT HS,1601 80TH ST,3343633,,3,11214,40.613262,-74.003404,11,43,182,3162711,3062710001,Bensonhurst West                                                           
D7I,X075,Building Envelope Improvement - Reconstruction of Exterior Masonry,P.S. 75,984 FAILE STREET,1312387,,2,10459,40.822719,-73.889435,2,17,119,2006079,2027470001,Hunts Point                                                                
D7J,Q124,Building Envelope Improvement - Parapet Reconstruction,P.S. 124,129-15 150 AVENUE,2303554,,4,11420,40.665058,-73.811701,10,28,84602,4257530,4118820001,South Ozone Park                                                           
D5P,X193,Building System Improvement - Boiler Conversion,I.S. 193,1919 PROSPECT AVENUE,3016120,,2,10457,40.843546,-73.889755,6,17,36901,2094582,2029510032,East Tremont                                                               
D5Q,X193,Building System Improvement - Reconstruction of Temperature Control System,I.S. 193,1919 PROSPECT AVENUE,2189611,,2,10457,40.843546,-73.889755,6,17,36901,2094582,2029510032,East Tremont                                                               
D5T,K445,Building Envelope Improvement - Reconstruction of Exterior Masonry,NEW UTRECHT HS,1601 80TH ST,6176918,,3,11214,40.613262,-74.003404,11,43,182,3162711,3062710001,Bensonhurst West                                                           
D5U,K127,Building Envelope Improvement - Reconstruction of Exterior Masonry,P.S. 127,7805 7 AVENUE,3556374,,3,11228,40.624132,-74.018826,10,43,206,3150481,3059730001,Dyker Heights                                                              
D63,Q025,Building Envelope Improvement - Parapet Reconstruction,J.H.S. 25,34-65 192 STREET,2420080,,4,11358,40.765133,-73.790083,11,19,1139,4119139,4052610001,Auburndale                                                                 
D64,Q025,Building Envelope Improvement - Parapet Reconstruction,J.H.S. 25,34-65 192 STREET,2875795,,4,11358,40.765133,-73.790083,11,19,1139,4119139,4052610001,Auburndale                                                                 
DL7,R071,A NEW PS HAVING AN ESTIMATED UNADJUSTED CAPACITY OF 956 AND AN ESTIMATED AREA OF 111000 SQ. FT.,PS 71 (PS 48),1050 TARGEE ST,37482398,,5,10304,40.603484,-74.091237,2,50,50,5046367,5031680004,Grasmere-Arrochar-Ft. Wadsworth                                            
DF7,K656,"Emergency, Unspecified",ACORN SCHOOL-SOC. JUSTICE@K656,345 DEAN STREET,201808,,3,11217,40.683559,-73.98027,2,33,39,3001190,3001920013,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
DEF,Q089,Building Envelope Improvement - Parapet Reconstruction,P.S. 89,85-28 BRITTON AVENUE,876870,,4,11373,40.745923,-73.880205,4,25,271,4037370,4015140001,Elmhurst                                                                   
DEQ,K328,Emergency Stabilization,P.S. 328,330 ALABAMA AVENUE,193467,,3,11207,40.668167,-73.897835,5,42,1134,3084283,3037680001,East New York (Pennsylvania Ave)                                           
DDP,Q089,Building Envelope Improvement - Reconstruction of Exterior Masonry,P.S. 89,85-28 BRITTON AVENUE,3054766,,4,11373,40.745923,-73.880205,4,25,271,4037370,4015140001,Elmhurst                                                                   
DDU,X006,Building Envelope Improvement - Reconstruction of Exterior Masonry,P.S. 6,1000 EAST TREMONT AVENUE,2497751,,2,10460,40.840755,-73.881707,6,17,359,2010892,2030050010,East Tremont                                                               
DEE,Q089,Building Envelope Improvement - Parapet Reconstruction,P.S. 89,85-28 BRITTON AVENUE,1930504,,4,11373,40.745923,-73.880205,4,25,271,4037370,4015140001,Elmhurst                                                                   
DEG,Q089,Indoor Building Improvement,P.S. 89,85-28 BRITTON AVENUE,361262,,4,11373,40.745923,-73.880205,4,25,271,4037370,4015140001,Elmhurst                                                                   
DDI,Q636,Leased Facility Improvements,RICHMOND HILL HS ANNEX,94-25 117TH ST,21435061,,4,11419,40.693006,-73.829407,9,28,120,4441342,4094350016,Richmond Hill                                                              
DF3,X400,Building Envelope Improvement - Reconstruction of Exterior Masonry,BRONX LEADERSHIP ACADEMY @X400,1110 BOSTON RD,14024872,,2,10456,40.827642,-73.904473,3,16,135,2004526,2026340001,Morrisania-Melrose                                                         
DE3,M111,Building System Improvement - Installation of a Low-Voltage Electrical System,P.S. 111,440 WEST 53 STREET,1256175,,1,10019,40.765878,-73.988823,4,3,133,1026740,1010620003,Clinton                                                                    
E8V,X080,RESOA TECHNOLOGY PROJECTS,P.S. 280 - BRONX,149 EAST MOSHOLU PKWY N,0,,2,10467,40.876299,-73.881532,7,11,419,2018046,2033360035,Norwood                                                                    
EC5,X839,RESOA TECHNOLOGY PROJECTS,BRONX HS FOR THE VISUAL ARTS -,2040 ANTIN PLACE,0,,2,10462,40.851405,-73.865036,11,13,228,2048811,2042900048,Pelham Parkway                                                             
E15,K194,Indoor Building Improvement - Reconstruction of Toilets,P.S. 194,3117 AVENUE W,1652170,,3,11229,40.596757,-73.933499,15,46,570,3201629,3073930001,Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             
E18,M052,Building System Improvement - Installation of a Low-Voltage Electrical System,IS 52,650 ACADEMY STREET,964295,,1,10034,40.866053,-73.924835,12,10,291,1076776,1022330020,Marble Hill-Inwood                                                         
E1E,Q047,Building Envelope Improvement - Window and Door Replacement,P.S. 47,9 POWER ROAD,1423135,,4,11693,40.606353,-73.820445,14,32,107201,4448968,4153130485,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel                      
E12,K029,Indoor Building Improvement,P.S. 29,425 HENRY STREET,1436909,,3,11201,40.686951,-73.99806,6,39,45,3255627,3003110001,Carroll Gardens-Columbia Street-Red Hook                                   
E1T,X420,Science Lab Upgrade,MONROE ACADEMY FOR VISUAL ARTS,1300 BOYNTON AVENUE,2486469,,2,10472,40.831601,-73.878912,9,18,56,2027459,2038640001,West Farms-Bronx River                                                     
E2D,M040,Building Envelope Improvement - Parapet Reconstruction,PS 40,319 EAST 19 STREET,756342,,1,10003,40.735161,-73.982027,6,2,64,1020513,1009250012,Gramercy                                                                   
E0E,X194,Building Envelope Improvement - Reconstruction of Exterior Masonry,P.S./I.S. 194,2365 Waterbury Avenue,1362309,,2,10462,40.834782,-73.846632,10,18,96,2103494,2038340070,Westchester-Unionport                                                      
E20,K039,Building Envelope Improvement - Reconstruction of Exterior Masonry,P.S. 39,417 6TH AVENUE,1155472,,3,11215,40.668916,-73.983195,6,39,153,3021932,3010000001,Park Slope-Gowanus                                                         
E22,K021,Building Envelope Improvement - Parapet Reconstruction,P.S. 21,180 CHAUNCEY STREET,932127,,3,11233,40.680727,-73.926597,3,36,381,3047914,3016920017,Crown Heights North                                                        
E27,Q018,Building Envelope Improvement - Parapet Reconstruction,P.S. 18,86-35 235 COURT,1722234,,4,11427,40.732112,-73.73246,13,23,1621,4166561,4079550002,Bellerose                                                                  
E28,K194,Building Envelope Improvement - Parapet Reconstruction,P.S. 194,3117 AVENUE W,157462,,3,11229,40.596757,-73.933499,15,46,570,3201629,3073930001,Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             
E29,Q047,Building Envelope Improvement - Parapet Reconstruction,P.S. 47,9 POWER ROAD,476022,,4,11693,40.606353,-73.820445,14,32,107201,4448968,4153130485,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel                      
E2C,M040,Building Envelope Improvement - Parapet Reconstruction,PS 40,319 EAST 19 STREET,1170301,,1,10003,40.735161,-73.982027,6,2,64,1020513,1009250012,Gramercy                                                                   
E2E,M040,Indoor Building Improvement,PS 40,319 EAST 19 STREET,293737,,1,10003,40.735161,-73.982027,6,2,64,1020513,1009250012,Gramercy                                                                   
E5C,K277,Asbestos  abatement,P.S. 277,2529 GERRITSEN AVENUE,14462,,3,11229,40.596145,-73.928793,18,46,666,3242369,3085900650,park-cemetery-etc-Brooklyn                                                 
E0H,X157,Building System Improvement - Boiler Conversion,P.S. 157,757 CAULDWELL AVENUE,4056301,,2,10456,40.819258,-73.908553,1,17,75,2004464,2026250001,Melrose South-Mott Haven North                                             
E4A,X117,Emergency Stabilization,J.H.S. 117,1865 MORRIS AVENUE,1254235,,2,10453,40.848516,-73.908427,5,14,23301,2007902,2028270001,Mount Hope                                                                 
E14,K029,Building Envelope Improvement - Reconstruction of Exterior Masonry,P.S. 29,425 HENRY STREET,4546132,,3,11201,40.686951,-73.99806,6,39,45,3255627,3003110001,Carroll Gardens-Columbia Street-Red Hook                                   
ENO,Q019,CAFETARIA/MULTI PURPOSE,P.S. 19,98-02 ROOSEVELT AVE.,264719,,4,11368,40.749381,-73.867354,4,21,409,4437176,4016070001,North Corona                                                               
EN0,M045,Auditorium Upgrade - replace and upgrade auditorium sound system and lighting.,COAL. SCHOOL FOR SOCIAL CHANGE,2351 1ST AVENUE,1394015,,1,10035,40.798884,-73.933319,11,8,194,1054786,1017970100,East Harlem North                                                          
ENC,M003,Building System Improvement - Installation of a Low-Voltage Electrical System,P.S. 3,490 HUDSON STREET,1071577,,1,10014,40.732593,-74.006466,2,3,73,1009872,1005850041,West Village                                                               
E2V,M099,Emergency Stabilization,ACADEMY ENVIRON SCIENCE @M099,410 EAST 100 STREET,242721,,1,10029,40.785671,-73.942548,11,8,162,1052998,1016930001,East Harlem South                                                          
E2X,K005,Building Envelope Improvement - Parapet Reconstruction,P.S. 5,820 HANCOCK STREET,529214,,3,11233,40.685695,-73.922463,3,41,377,3039906,3014900001,Stuyvesant Heights                                                         
EOE,M470,INTERIOR SPACES,LOUIS D. BRANDEIS HIGH SCHOOL,145 WEST 84 STREET,634313,,1,10024,40.785803,-73.974614,7,6,169,1032128,1012150001,Upper West Side                                                            
